id,nome,marca,imaxe,categoria,precio,desconto,granel,descripcion
40,Leche Entera,FEIRACO,https://galiciacalidade.gal/assets/img/Feiraco_brik_entera_v01.png,Alimentacion,0.76,0.4,false,Brik 1 L
41,Leche,FEIRACO,https://supermercado.galuresa.com/184-large_default/leche-desnatada-feiraco-brik-1-l.jpg,Alimentacion,0.73,0,false,"Semidesnatada o Destanada
Brik 1 L"
42,Cacao Soluble,COLA CAO,https://www.gastronomicspain.com/3495-large_default/cola-cao-sobres.jpg,Alimentacion,6.45,0,false,"Ecobolsa 1.2 Kg
5.38€ Kilo"
43,Galletas Napolitanas,CUETARA,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202005/25/00120608200174____7__600x600.jpg,Alimentacion,1.59,0,false,Caja 500 g (3.18€ Kilo)
44,Aceite Oliva Virgen Extra,CARBONELL,https://carbonell-oliveoil.com/themes/user/site/default/asset/img/blog/2000x873_imagen-apaisada-post-5.jpg,Alimentacion,3.39,0,false,Botella 1 L
45,Alimento para Perro Adulto Active Buey,FRISKIES,https://static.zoomalia.com/prod_img/39916/la_511a760880003e7ddedfef56acb3b09697f1580735282.jpg,Mascotas,17.95,0,false,15 Kg (1.20€ Kilo)
46,Alimento Periquitos,IFA AMIGO,https://flimar.com/4215-large_default/alimento-comp-ifa-periquitos-500g.jpg,Mascotas,0.6,0,false,500 g (1.20€ Kilo)
47,Alimento Gato Mousse,IFA AMIGO,https://www.supermercadoseljamon.com/documents/10180/892067/35010414_G.jpg,Mascotas,0.35,0,false,"Con Buey, Salmon y gambas o con Atun 
85 g (4.12€ Kilo)"
48,Agua Mineral Natural,IFA ELIGES,https://www.supermercadoseljamon.com/documents/10180/892067/30050125_G.jpg,Bebidas,0.14,0,false,500 ml (0.28€ Kilo)
49,Refresco Normal,COCA-COLA,https://images-na.ssl-images-amazon.com/images/I/51s2iLnf5bL._SL1000_.jpg,Bebidas,1.19,0,false,Botella 1.25 L (0.95€ Kilo)
50,Cerveza 1906,ESTRELLA GALICIA,https://images-na.ssl-images-amazon.com/images/I/516EMeZYK%2BL._AC_.jpg,Bebidas,10.9,0.5,false,"Botella pack 12 x 33 cl
 (2.75€ Kilo)"
51,Ron,BRUGAL,https://static.carrefour.es/hd_510x_/img_pim_food/043484_00_1.jpg,Bebidas,16.39,0,false,Botella 1 L
52,Refresco,KAS,https://static.carrefour.es/hd_510x_/img_pim_food/384252_00_1.jpg,Bebidas,3.15,0,false,"Naranja o Limon 
 Lata Pack 9x33 cl
(1.06€ Litro)"
53,Tomate fresco,IFA ELIGES,https://www.despensa.es/documents/10180/10736/040603_G.jpg,Alimentacion,0.45,0,false,"Tomate natural entero 
Lata 250gr
(1.88 €/kg)"
54,Pastas con vegetales,Gallo,https://www.alimarket.es/media/images/2018/detalle_art/269263/81741_high_original.png,Alimentacion,1.15,0,false,"helices, pajaritas o pasta fina 
 Pack 450gr 
 (2.58 €/kg)"
